Date,Open,High,Low,Close,Volume
2016-09-29,226.69,227.26,222.87,223.74,682766
2016-09-30,224.59,225.04,221.95,224.28,610488
2016-10-03,222.8,224.02,221.95,223.77,368993
2016-10-04,223.43,224.32,220.01,221.58,460550
2016-10-05,221.75,222.15,220.54,221.36,461558
2016-10-06,221.09,222.63,219.58,222.25,390118
2016-10-07,222.87,223.25,221.12,222.97,534503
2016-10-10,223.63,227.97,223.0,227.45,515311
2016-10-11,227.4,227.4,217.38,217.76,847035
2016-10-12,218.0,219.31,217.28,217.82,536144
2016-10-13,217.09,219.73,215.88,218.66,580877
2016-10-14,219.41,220.91,219.0,219.8,451340
2016-10-17,219.92,219.92,218.55,219.04,324226
2016-10-18,220.53,224.9,220.53,223.42,368975
2016-10-19,223.34,223.54,219.6,220.47,392412
2016-10-20,220.39,221.59,219.67,220.19,252335
2016-10-21,218.65,219.59,216.6,219.38,371173
2016-10-24,220.38,221.1,218.5,218.92,404430
2016-10-25,219.38,220.06,214.89,214.94,572198
2016-10-26,219.07,220.31,213.88,214.95,772425
2016-10-27,215.25,216.06,210.01,210.26,729691
2016-10-28,210.26,217.44,209.46,214.71,658507
2016-10-31,214.95,216.99,213.0,216.68,519982
2016-11-01,216.81,217.23,213.74,214.74,434774
2016-11-02,215.1,216.99,214.48,215.38,652282
2016-11-03,216.23,219.53,214.4,217.13,480214
2016-11-04,217.98,219.9,217.06,217.69,405060
2016-11-07,220.11,221.62,218.81,220.62,314981
2016-11-08,220.46,224.65,218.84,224.15,439384
2016-11-09,224.92,224.92,215.63,218.95,675192
2016-11-10,222.17,222.27,217.97,220.34,550645
2016-11-11,220.35,220.86,212.56,213.24,648571
2016-11-14,213.56,213.56,203.63,203.77,858728
2016-11-15,204.52,212.7,203.77,212.2,679526
2016-11-16,212.16,213.04,210.55,212.99,403930
2016-11-17,213.25,216.4,212.16,216.02,371427
2016-11-18,215.76,216.44,214.82,215.73,346269
2016-11-21,215.96,216.35,214.38,215.2,396044
2016-11-22,213.96,214.88,207.26,208.8,899199
2016-11-23,208.13,210.92,208.13,210.0,713618
2016-11-25,210.13,213.57,209.63,212.61,272706
2016-11-28,211.42,213.28,210.52,210.96,503138
2016-11-29,212.05,215.95,211.44,215.88,640119
2016-11-30,215.17,215.4,210.46,210.55,605954
2016-12-01,209.59,211.76,206.26,206.86,541495
2016-12-02,207.94,212.43,207.37,209.96,543429
2016-12-05,210.39,211.15,209.11,210.21,376023
2016-12-06,211.28,211.59,207.73,208.74,368241
2016-12-07,208.24,211.75,206.71,211.18,471974
2016-12-08,210.7,215.1,207.37,213.61,406190
2016-12-09,213.0,217.17,212.83,216.64,394186
2016-12-12,216.6,220.87,216.6,219.85,574319
2016-12-13,219.2,222.36,218.86,220.36,661014
2016-12-14,221.26,221.94,217.17,217.92,563028
2016-12-15,217.42,221.07,216.54,220.71,472232
2016-12-16,221.46,222.74,220.08,221.03,757023
2016-12-19,220.45,222.17,219.55,220.33,414937
2016-12-20,219.45,220.81,219.18,220.47,377138
2016-12-21,221.01,221.59,219.51,219.66,483317
2016-12-22,218.77,221.67,218.72,220.68,431219
2016-12-23,220.84,224.06,220.84,223.1,318807
2016-12-27,222.84,224.8,221.97,223.52,297102
2016-12-28,223.69,224.6,221.75,222.45,394265
2016-12-29,222.42,224.87,222.42,224.13,369427
2016-12-30,224.21,226.27,223.02,224.66,481678
2017-01-03,227.71,229.0,224.31,227.47,723758
2017-01-04,228.31,228.94,226.86,227.38,549491
2017-01-05,229.08,231.45,228.08,229.14,615654
2017-01-06,228.85,230.34,228.52,229.66,506195
2017-01-09,229.88,232.0,229.2,230.15,829251
2017-01-10,229.77,234.69,229.77,232.66,664593
2017-01-11,232.34,236.04,229.9,234.58,750041
2017-01-12,232.94,235.82,231.66,235.27,466529
2017-01-13,236.34,237.71,233.78,234.17,675639
2017-01-17,232.75,236.38,230.84,235.31,537711
2017-01-18,236.02,237.11,233.2,234.79,498316
2017-01-19,233.95,234.98,231.66,231.88,799523
2017-01-20,232.27,234.43,230.57,231.46,810668
2017-01-23,231.74,232.47,230.65,231.29,491108
2017-01-24,231.19,231.73,229.28,231.11,499989
2017-01-25,231.79,232.27,229.65,230.52,1029595
2017-01-26,230.5,230.84,226.08,226.56,1276892
2017-01-27,233.9,240.59,228.54,238.44,1788310
2017-01-30,237.0,238.49,235.18,236.82,806309
2017-01-31,236.82,237.7,234.83,237.33,641953
2017-02-01,238.17,238.64,232.11,236.3,1062350
2017-02-02,236.42,237.93,234.61,237.61,721446
2017-02-03,238.0,239.0,236.3,237.86,420177
2017-02-06,237.81,237.86,235.61,236.95,472848
2017-02-07,237.71,238.0,235.23,236.65,469188
2017-02-08,236.78,238.08,235.28,237.63,596809
2017-02-09,237.98,240.0,237.55,239.85,742911
2017-02-10,239.55,241.5,238.35,240.29,885238
2017-02-13,241.19,241.19,239.75,240.59,302345
2017-02-14,239.55,241.46,239.55,240.66,408060
2017-02-15,239.77,242.4,239.59,242.25,419549
2017-02-16,241.82,242.5,240.81,241.79,477409
2017-02-17,241.66,242.68,240.15,242.41,782477
2017-02-21,241.99,245.42,241.92,243.24,562231
2017-02-22,242.56,245.11,241.91,243.38,409023
2017-02-23,243.64,244.09,241.76,243.74,614106
2017-02-24,244.24,245.43,243.72,245.18,289000
2017-02-27,245.39,245.82,243.83,244.24,309773
2017-02-28,244.66,245.88,243.9,245.24,444410
2017-03-01,246.0,248.19,244.69,247.49,413598
2017-03-02,246.84,247.39,245.19,246.42,363304
2017-03-03,245.39,246.82,245.14,245.79,340408
2017-03-06,244.62,247.65,244.54,247.08,798473
2017-03-07,246.36,247.82,245.49,245.69,463338
2017-03-08,246.12,247.2,245.31,246.63,243036
2017-03-09,247.3,248.58,246.02,248.23,386861
2017-03-10,249.0,250.24,247.34,249.77,394910
2017-03-13,249.58,250.93,247.94,250.63,311425
2017-03-14,250.64,250.64,248.35,249.2,354005
2017-03-15,250.41,251.66,249.22,250.72,377349
2017-03-16,249.86,251.44,247.4,249.56,397161
2017-03-17,249.56,252.09,249.03,250.85,664787
2017-03-20,250.92,251.51,249.64,250.68,317929
2017-03-21,251.25,252.25,248.21,249.54,409540
2017-03-22,249.86,251.33,248.17,249.57,628452
2017-03-23,248.89,250.35,247.86,248.73,461212
2017-03-24,249.14,250.65,248.96,249.91,435866
2017-03-27,248.94,251.5,248.06,250.78,442197
2017-03-28,250.4,250.95,248.8,250.48,687729
2017-03-29,249.74,250.27,247.96,249.68,359420
2017-03-30,249.32,250.5,247.81,248.54,326439
2017-03-31,248.05,249.31,246.48,248.54,412951
2017-04-03,249.0,251.18,247.51,250.57,421305
2017-04-04,250.89,250.95,247.41,248.4,481534
2017-04-05,248.35,250.1,247.82,248.89,587268
2017-04-06,248.54,249.92,247.51,249.03,408844
2017-04-07,248.89,250.44,248.81,249.39,333927
2017-04-10,249.33,250.46,248.3,249.86,351260
2017-04-11,249.48,250.4,248.22,249.99,250174
2017-04-12,248.99,250.11,248.43,249.1,279170
2017-04-13,249.06,249.75,248.08,248.81,286548
2017-04-17,248.96,251.62,248.42,251.28,304237
2017-04-18,250.35,251.15,248.79,249.57,355407
2017-04-19,250.7,254.98,249.75,254.08,653276
2017-04-20,253.95,255.38,252.32,254.77,452343
2017-04-21,254.47,255.47,252.58,253.07,413824
2017-04-24,303.75,305.66,301.6,302.41,11540732
2017-04-25,302.82,305.09,302.45,303.51,4412461
2017-04-26,303.49,304.49,303.49,303.71,3454963
2017-04-27,303.91,306.06,303.22,305.58,1414761
2017-04-28,305.0,307.88,305.0,307.48,1885011
2017-05-01,307.85,308.41,306.6,306.92,1628678
2017-05-02,307.69,307.69,305.88,306.75,1712196
2017-05-03,306.29,307.46,303.32,306.59,900311
2017-05-04,306.2,307.26,305.74,306.6,1033828
2017-05-05,307.11,308.31,306.75,308.05,906423
2017-05-08,307.8,307.94,305.92,305.92,1968438
2017-05-09,306.03,306.36,305.09,305.97,1361866
2017-05-10,305.58,306.22,303.89,305.26,1215055
2017-05-11,305.71,307.87,305.67,307.8,1063575
2017-05-12,307.4,309.16,306.97,307.71,667972
2017-05-15,307.13,308.14,306.01,308.02,880157
2017-05-16,308.14,308.14,306.22,306.32,1339727
2017-05-17,305.92,306.33,304.92,304.92,1065403
2017-05-18,305.41,307.03,305.14,306.39,657707
2017-05-19,306.98,307.88,305.88,307.55,679397
2017-05-22,307.14,308.17,306.71,307.26,1062318
2017-05-23,307.22,308.77,307.22,308.34,1015691
2017-05-24,308.32,308.84,307.86,308.44,625872
2017-05-25,308.7,309.01,307.85,308.59,609720
2017-05-26,308.4,308.94,307.95,308.7,451830
2017-05-30,308.36,310.5,307.99,310.03,843080
2017-05-31,309.31,311.05,307.43,307.43,2664751
2017-06-01,309.4,313.36,309.3,313.0,936514
2017-06-02,312.45,313.56,312.31,313.36,575737
2017-06-05,312.9,313.88,312.63,313.26,785670
2017-06-06,313.15,313.88,312.54,313.06,941476
2017-06-07,313.2,314.5,313.03,314.09,527991
2017-06-08,314.3,314.7,313.45,313.88,965715
2017-06-09,313.94,314.86,313.58,314.25,791305
2017-06-12,315.18,315.18,311.66,313.48,1309441
2017-06-13,313.32,314.83,313.32,314.07,618618
2017-06-14,314.05,315.29,314.05,314.64,518779
2017-06-15,314.1,314.75,313.49,313.93,1071949
2017-06-16,314.2,314.56,313.42,313.56,728015
